2024-11-14 21:38:10,469 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Configure stats pid to 360968
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Loading settings from /homes/alochab/.config/wandb/settings
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Loading settings from /u/antor/u12/alochab/cs578/Lottery-Ticket-Hypothesis-in-Pytorch/wandb/settings
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'LTH.py', 'program_abspath': '/u/antor/u12/alochab/cs578/Lottery-Ticket-Hypothesis-in-Pytorch/LTH.py', 'program': '/u/antor/u12/alochab/cs578/Lottery-Ticket-Hypothesis-in-Pytorch/LTH.py'}
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_init.py:_log_setup():533] Logging user logs to /u/antor/u12/alochab/cs578/Lottery-Ticket-Hypothesis-in-Pytorch/wandb/run-20241114_213810-rb4yw7s6/logs/debug.log
2024-11-14 21:38:10,470 INFO    MainThread:360968 [wandb_init.py:_log_setup():534] Logging internal logs to /u/antor/u12/alochab/cs578/Lottery-Ticket-Hypothesis-in-Pytorch/wandb/run-20241114_213810-rb4yw7s6/logs/debug-internal.log
2024-11-14 21:38:10,471 INFO    MainThread:360968 [wandb_init.py:init():619] calling init triggers
2024-11-14 21:38:10,471 INFO    MainThread:360968 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'arch': 'fc1', 'learning_rate': 0.0012, 'prune_percent': 10, 'prune_iter': 35}
2024-11-14 21:38:10,471 INFO    MainThread:360968 [wandb_init.py:init():669] starting backend
2024-11-14 21:38:10,471 INFO    MainThread:360968 [wandb_init.py:init():673] sending inform_init request
2024-11-14 21:38:10,473 INFO    MainThread:360968 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-14 21:38:10,474 INFO    MainThread:360968 [wandb_init.py:init():686] backend started and connected
2024-11-14 21:38:10,479 INFO    MainThread:360968 [wandb_init.py:init():781] updated telemetry
2024-11-14 21:38:10,498 INFO    MainThread:360968 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-14 21:38:10,983 INFO    MainThread:360968 [wandb_init.py:init():867] starting run threads in backend
2024-11-14 21:38:11,227 INFO    MainThread:360968 [wandb_run.py:_console_start():2456] atexit reg
2024-11-14 21:38:11,227 INFO    MainThread:360968 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-14 21:38:11,228 INFO    MainThread:360968 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-14 21:38:11,228 INFO    MainThread:360968 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-14 21:38:11,233 INFO    MainThread:360968 [wandb_init.py:init():911] run started, returning control to user process
2024-11-14 21:38:14,578 WARNING MsgRouterThr:360968 [router.py:message_loop():75] message_loop has been closed
